#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  23600      1.38e+00      7.05e-03      5.73e-02    5.7e-04
  23700      1.28e+00      1.96e-03      5.35e-02    5.7e-04
  23800      1.75e+00      3.02e-03      7.33e-02    5.7e-04
  23900      1.36e+00      4.94e-03      5.67e-02    5.7e-04
  24000      1.74e+00      1.41e-02      7.32e-02    5.4e-04
  24100      1.53e+00      5.09e-03      6.53e-02    5.4e-04
  24200      1.98e+00      4.59e-03      8.50e-02    5.4e-04
  24300      1.98e+00      1.02e-02      8.42e-02    5.4e-04
  24400      1.23e+00      2.28e-02      4.83e-02    5.4e-04
  24500      1.95e+00      2.96e-02      7.66e-02    5.4e-04
  24600      1.40e+00      2.98e-03      5.99e-02    5.4e-04
  24700      1.32e+00      1.52e-03      5.67e-02    5.4e-04
  24800      1.34e+00      6.27e-03      5.73e-02    5.4e-04
  24900      1.28e+00      1.11e-03      5.49e-02    5.4e-04
  25000      1.15e+00      2.57e-04      4.97e-02    5.4e-04
  25100      1.52e+00      7.31e-03      6.49e-02    5.4e-04
  25200      1.14e+00      1.34e-04      4.92e-02    5.4e-04
  25300      1.44e+00      9.13e-03      6.10e-02    5.4e-04
  25400      1.40e+00      1.86e-03      6.03e-02    5.4e-04
  25500      1.12e+00      1.78e-03      4.81e-02    5.4e-04
  25600      1.26e+00      2.97e-03      5.41e-02    5.4e-04
  25700      1.19e+00      1.87e-03      5.10e-02    5.4e-04
  25800      1.43e+00      2.85e-03      6.14e-02    5.4e-04
  25900      2.81e+00      3.03e-03      1.21e-01    5.4e-04
  26000      1.66e+00      1.06e-02      7.21e-02    5.1e-04
  26100      1.40e+00      9.93e-03      6.06e-02    5.1e-04
  26200      1.33e+00      1.65e-03      5.86e-02    5.1e-04
  26300      1.17e+00      6.31e-04      5.18e-02    5.1e-04
  26400      1.22e+00      3.60e-03      5.36e-02    5.1e-04
  26500      1.33e+00      2.52e-03      5.88e-02    5.1e-04
  26600      1.39e+00      8.08e-04      6.12e-02    5.1e-04
  26700      1.22e+00      1.31e-04      5.38e-02    5.1e-04
  26800      1.31e+00      2.58e-03      5.78e-02    5.1e-04
  26900      1.34e+00      5.83e-03      5.87e-02    5.1e-04
  27000      1.70e+00      2.86e-02      6.66e-02    5.1e-04
  27100      1.47e+00      1.93e-02      6.04e-02    5.1e-04
  27200      1.70e+00      1.68e-03      7.49e-02    5.1e-04
  27300      1.48e+00      7.37e-03      6.47e-02    5.1e-04
  27400      1.72e+00      6.22e-03      7.56e-02    5.1e-04
  27500      1.28e+00      7.64e-04      5.65e-02    5.1e-04
  27600      1.22e+00      2.13e-03      5.37e-02    5.1e-04
  27700      1.14e+00      1.51e-03      5.03e-02    5.1e-04
  27800      1.43e+00      1.17e-02      6.15e-02    5.1e-04
  27900      1.77e+00      1.49e-02      7.61e-02    5.1e-04
  28000      1.20e+00      1.68e-02      5.00e-02    4.9e-04
  28100      1.19e+00      5.21e-04      5.38e-02    4.9e-04
  28200      9.82e-01      7.60e-05      4.44e-02    4.9e-04
  28300      1.18e+00      2.33e-03      5.31e-02    4.9e-04
  28400      1.22e+00      2.93e-03      5.50e-02    4.9e-04
  28500      1.22e+00      2.46e-03      5.51e-02    4.9e-04
  28600      1.33e+00      4.34e-04      6.03e-02    4.9e-04
  28700      1.13e+00      3.52e-03      5.08e-02    4.9e-04
  28800      1.03e+00      8.21e-03      4.57e-02    4.9e-04
  28900      3.24e+00      2.72e-02      1.42e-01    4.9e-04
  29000      1.08e+00      1.19e-02      4.64e-02    4.9e-04
  29100      1.18e+00      6.45e-03      5.29e-02    4.9e-04
  29200      1.36e+00      1.97e-03      6.16e-02    4.9e-04
  29300      1.04e+00      6.05e-04      4.73e-02    4.9e-04
  29400      1.20e+00      4.38e-03      5.41e-02    4.9e-04
  29500      1.20e+00      5.56e-03      5.40e-02    4.9e-04
  29600      1.27e+00      3.58e-03      5.75e-02    4.9e-04
  29700      1.17e+00      2.28e-03      5.30e-02    4.9e-04
  29800      1.06e+00      8.26e-04      4.78e-02    4.9e-04
  29900      1.11e+00      4.35e-03      5.01e-02    4.9e-04
  30000      1.15e+00      3.50e-03      5.33e-02    4.6e-04
  30100      1.00e+00      1.26e-03      4.65e-02    4.6e-04
  30200      2.30e+00      2.75e-02      1.07e-01    4.6e-04
  30300      1.06e+00      9.27e-03      4.80e-02    4.6e-04
  30400      1.13e+00      1.06e-02      5.07e-02    4.6e-04
  30500      1.14e+00      5.36e-03      5.24e-02    4.6e-04
